epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
70,76.9219,1.18442,4.76549,1.57137,0,0,0,0,1.95836,4.98156,2.17672,2.60207e-05,2.60207e-05,2.60207e-05
71,77.9799,1.44358,4.78435,1.69424,0,0,0,0,1.95836,4.98156,2.17672,2.55731e-05,2.55731e-05,2.55731e-05
72,79.0737,1.21583,4.74311,1.54788,0,0,0,0,1.964,4.98547,2.17295,2.5102e-05,2.5102e-05,2.5102e-05
73,80.0121,1.90699,5.04994,2.02215,0,0,0,0,1.964,4.98547,2.17295,2.46073e-05,2.46073e-05,2.46073e-05
74,80.9492,1.28558,4.9266,1.71347,0,0,0,0,1.964,4.98547,2.17295,2.40891e-05,2.40891e-05,2.40891e-05
75,82.0295,1.64362,4.94743,1.9639,0,0,0,0,1.93211,4.9809,2.15642,2.35472e-05,2.35472e-05,2.35472e-05
76,83.0675,1.47027,4.83566,1.83105,0,0,0,0,1.93211,4.9809,2.15642,2.29819e-05,2.29819e-05,2.29819e-05
77,84.2276,1.37866,4.78046,1.68672,0,0,0,0,1.93211,4.9809,2.15642,2.23929e-05,2.23929e-05,2.23929e-05
78,85.1481,1.59014,4.96572,1.86811,0,0,0,0,1.94189,4.98461,2.17612,2.17805e-05,2.17805e-05,2.17805e-05
79,86.0505,1.34461,4.96132,1.57494,0,0,0,0,1.94189,4.98461,2.17612,2.11444e-05,2.11444e-05,2.11444e-05
80,87.246,1.01243,4.63654,1.54042,0,0,0,0,1.94189,4.98461,2.17612,2.04848e-05,2.04848e-05,2.04848e-05
81,88.359,1.42661,4.83333,1.77161,0,0,0,0,1.95242,4.99267,2.19259,1.98016e-05,1.98016e-05,1.98016e-05
82,89.4651,1.37804,4.67744,1.67781,0,0,0,0,1.95242,4.99267,2.19259,1.90949e-05,1.90949e-05,1.90949e-05
83,90.5085,1.60405,4.82961,1.96158,0,0,0,0,1.95242,4.99267,2.19259,1.83646e-05,1.83646e-05,1.83646e-05
84,91.523,1.8078,5.04561,2.02431,0,0,0,0,1.89734,4.98929,2.15054,1.76107e-05,1.76107e-05,1.76107e-05
85,92.7247,0.99687,4.55561,1.63834,0,0,0,0,1.89734,4.98929,2.15054,1.68333e-05,1.68333e-05,1.68333e-05
86,93.7865,0.96688,4.77798,1.45842,0,0,0,0,1.89734,4.98929,2.15054,1.60323e-05,1.60323e-05,1.60323e-05
87,95.0147,1.37359,4.74061,1.80563,0,0,0,0,1.89734,4.98929,2.15054,1.52077e-05,1.52077e-05,1.52077e-05
88,96.3109,1.10457,4.67659,1.56995,0,0,0,0,1.8764,4.98947,2.14213,1.43596e-05,1.43596e-05,1.43596e-05
89,97.2951,1.58335,4.90618,1.8943,0,0,0,0,1.8764,4.98947,2.14213,1.34879e-05,1.34879e-05,1.34879e-05
